id,author,category,comments,content,created,description,dislikes,keywords,likes,modified,require_comments,require_likee,settings,status,title,treat_as_post,url
1,Carron Muleya,c,0,"//a program that uses a nested for loop to simulate counting in 4-bit binary.
#include&ltconio.h&gt;
#include&ltstdio.h&gt;
#define max 2
int a,b,c,d;
main() {

printf(""Counts in binary.\n"");
for (a=0; a&ltmax; a++)
for (b=0; b&ltmax; b++)
for (c=0; c&ltmax; c++)
for (d=0; d&ltmax; d++)
printf(""%d%d%d%d\n"",a,b,c,d);

getch();
}",2022-01-08T21:51:36.0000000,,0,,0,2022-01-08T21:51:36.0000000,False,False,,public,a program that uses a nested for loop to simulate counting in  bit binary,False,/codes/c/a-program-that-uses-a-nested-for-loop-to-simulate-counting-in--bit-binary.html
2,Carron Muleya,c,0,"//a program to ask about the weather conditions

#include&ltstdio.h&gt;
#include&ltconio.h&gt;

main()
{
  char choice;
  printf(""What is the weather like today?"");
  printf(""\n\ta) Sunny and Hot \n\tb) Wet and Windy \n\tc) Wet and Cold \n\td) Windy\n"");

  choice =getch();
  switch(choice)
   {
  case 'a': printf(""Get an umbrella or shades"");break;
  case 'b': printf(""Get a raincoat"");break;
  case 'c': printf(""Get a coat and umbrella "");break;
  case 'd': printf(""Stay indoors."");break;
  default:printf(""Invalid choice! Select choice between a and d"");
  }
  getch();
}",2022-01-08T21:51:36.0000000,,0,,0,2022-01-08T21:51:36.0000000,False,False,,public,a program to ask about the weather conditions,False,/codes/c/a-program-to-ask-about-the-weather-conditions.html
3,Carron Muleya,c,0,"//program to calculate area of a circle
#include&ltstdio.h&gt;
#include&ltconio.h&gt;
#define PI 3.14159//   #define this so the compiler knows it has been included
int radius;
float area;

main()

{ 
    printf( ""Enter radius \n "" );
    scanf( ""%d"", &amp;radius );
    area =  PI * radius * radius;
    printf( ""The area of the circle with radius %d is %f"", radius ,area );
    getch();
    return 0;
}",2022-01-08T21:51:37.0000000,,0,,0,2022-01-08T21:51:37.0000000,False,False,,public,Area of a circle,False,/codes/c/Area-of-a-circle.html
4,Carron Muleya,c,0,"//program to find area of a rectangle
 #include &ltstdio.h&gt; 
 #include &ltconio.h&gt;
int main()
 { int a,b,area; 
 printf (""Enter the height of the rectangle\n"");
 scanf(""%d"",&amp;a);
 printf (""Enter the width of the rectangle\n"");
 scanf(""%d"",&amp;b);
  area = a*b;
  printf(""the area is %d"", area);
  getch();
   return 0; 
   }",2022-01-08T21:51:37.0000000,,0,,0,2022-01-08T21:51:37.0000000,False,False,,public,Area of a rectangle,False,/codes/c/Area-of-a-rectangle.html
5,Carron Muleya,c,0,"/* Displaying Fibonacci series up to certain number entered by user. */
//The next number is found by adding up the two numbers before it
//eg.0, 1, 1, 2, 3, 5, 8, 13, 21, 34, ...



#include &ltstdio.h&gt;
#include &ltconio.h&gt;
main()
{
  int t1=0, t2=1, display=0, num;
  printf(""Enter an integer\n "");
  scanf(""%d"",&amp;num);
  printf(""Fibonacci Series: %d%d"", t1, t2); /* Displaying first two terms */
  display=t1+t2;
  while(display&ltnum)
  {
      printf(""%d"",display);
      t1=t2;
      t2=display;
      display=t1+t2;
  }
  getch();
}",2022-01-08T21:51:37.0000000,,0,,0,2022-01-08T21:51:37.0000000,False,False,,public,Displaying Fibonacci series up to certain number entered by user,False,/codes/c/Displaying-Fibonacci-series-up-to-certain-number-entered-by-user.html
6,Carron Muleya,c,0,"//Hello World Program
#include&ltstdio.h&gt;
#include&ltconio.h&gt;
main()
{
	printf(""Hello World!\n"");
	printf (""30 running programs for the course(Programming and program design) due today"");
	getch();
}",2022-01-08T21:51:37.0000000,,0,,0,2022-01-08T21:51:37.0000000,False,False,,public,Hello World Program,False,/codes/c/Hello-World-Program.html
8,Carron Muleya,c,0,"//prog that arranges entered names in alphabetical order

#include &ltstdio.h&gt;
#include &ltconio.h&gt;
#include &ltstring.h&gt;
#define ITEMS 5
#define MAXCHAR 20
main()
{
     char string[ITEMS][MAXCHAR], dummy[MAXCHAR];
     int i=0, j=0;
     printf(""enter the names to be arranged in alphabetical order"");
     while (i&ltITEMS)
           scanf(""%s"", string[i++]);
     for (i=1;i&ltITEMS;i++)
     {
         for(j=1;j&lt;+ITEMS-i;j++)
         {
	  if(strcmp(string[j-1], string[j]&amp;gt0))
          {
           strcpy(dummy, string[j-1]);
           strcpy(string[j-1], string[j]);
           strcpy(string[j], dummy);
          }
         }
     }
     printf(""alphabetical order"");
     for(i=0;i&ltITEMS;i++)
     printf(""%s"", string[i]);
     getch();
}",2022-01-08T21:51:37.0000000,,0,,0,2022-01-08T21:51:37.0000000,False,False,,public,program arranges entered words in alphabetic oder,False,/codes/c/program-arranges-entered-words-in-alphabetic-oder.html
9,Carron Muleya,c,0,"//displays the ASC11 values of characters
#include &ltstdio.h&gt;
#include &ltconio.h&gt;

main()
{
    
    char c;
    printf(""Enter a character: "");
    scanf(""%c"",&amp;c);        // Takes a character from user
    printf(""ASCII value of %c = %d"",c,c);
    getch();
}",2022-01-08T21:51:37.0000000,,0,,0,2022-01-08T21:51:37.0000000,False,False,,public,program displays the ASC values of characters,False,/codes/c/program-displays-the-ASC-values-of-characters.html
10,Carron Muleya,c,0,"//A palindrome is a word, phrase, number, or other sequence of characters which reads the same backward or forward. 
//e.g., madam or nurses run
#include&ltstdio.h&gt;
#include&ltconio.h&gt;
#include&ltstring.h&gt;
main()
{
  char s1[20],s2[20];

  printf(""enter a string\n"");
  scanf(""%s"",s1);
  strcpy(s2,s1);//Copies fromS1 toS2
  strrev(s2);//reverses the given string
  if (strcmp(s1,s2)==0)// Returns an integer that is negative if str1 &lt; str2, 
                        //zero if str1 == str2, and positive if str1 &gt; str2
  {
    printf(""palindrome"");
  }
  else
  printf(""not a palindrome"");
  getch();
  return 0;
}",2022-01-08T21:51:37.0000000,,0,,0,2022-01-08T21:51:37.0000000,False,False,,public,program of a palindrome,False,/codes/c/program-of-a-palindrome.html
11,Carron Muleya,c,0,"#include&ltstdio.h&gt;
#include&ltconio.h&gt;
#include&ltstring.h&gt;

main()
{
   char s1[20]; 
   printf (""Enter a name\n"");
   scanf(""%s"",s1);

printf(""String before stringreversed( ) : %s\n"",s1);
printf(""String after stringreversed( )  : %s"",strrev(s1));
getch ();
   return 0;
}",2022-01-08T21:51:37.0000000,,0,,0,2022-01-08T21:51:37.0000000,False,False,,public,program reverses a word,False,/codes/c/program-reverses-a-word.html
12,Carron Muleya,c,0,"//program to add two matrix
#include &ltstdio.h&gt;
#include &ltconio.h&gt;

 main()
{
   int a[10][10],b[10][10],c[10][10],i,j,m,n,p,q;
   printf(""enter the order of the two matrices\n"");
   scanf(""%d%d%d%d"",&amp;p,&amp;q,&amp;m,&amp;n);

   if(m==p &amp;&amp; n==q)
   {
     printf(""matrix can be added\n"");
     printf(""enter the elements of the matrix a\n"");
     for(i=0;i&ltm;i++)
     for(j=0;j&ltn;j++)
     scanf(""%d"",&amp;a[i][j]);

     printf(""enter the elements of the matrix b\n"");
     for(i=0;i&ltp;i++)
     for(j=0;j&ltq;j++)
     scanf(""%d"",&amp;b[i][j]);


     for (i=0;i&ltm;i++)
     for (j=0;j&ltn;j++)
     c[i][j]=a[i][j]+b[i][j];
     for(i=0;i&ltm;i++)
     {
      for(j=0;j&ltn;j++)
       printf(""%d\t"",c[i][j]);
       printf(""\n"");
     }
   }
    getch();
}",2022-01-08T21:51:38.0000000,,0,,0,2022-01-08T21:51:38.0000000,False,False,,public,Program to add two matrices,False,/codes/c/Program-to-add-two-matrices.html
